epoch,acc,loss,lr,val_acc,val_loss
0,0.00738007380074,5.43512084651,0.015,0.00810185185185,6.42898874813
1,0.00830258302583,5.43173733145,0.015,0.0,6.41632538372
2,0.00814883148831,5.40278677336,0.015,0.0,6.44698911685
3,0.00984009840098,5.33135979876,0.015,0.0,6.72957766056
4,0.00968634686347,5.30896632668,0.015,0.0451388888889,6.45617585712
5,0.00937884378844,5.2787828205,0.015,0.0300925925926,6.6542617789
6,0.00968634686347,5.24822691299,0.015,0.0,6.77616839056
7,0.0109163591636,5.23415946081,0.015,0.0289351851852,6.83727129742
8,0.010147601476,5.21680732436,0.015,0.0,7.16285455668
9,0.00876383763838,5.19545982685,0.015,0.0,6.96484639468
10,0.0079950799508,5.18956279931,0.015,0.0185185185185,7.21018050335
11,0.00891758917589,5.16547969523,0.015,0.0,6.92450245221
12,0.010147601476,5.15835389469,0.015,0.0,7.1704863354
13,0.015221402214,4.98215010245,0.0015,0.0,6.79770204314
14,0.014606396064,4.96937649951,0.0015,0.025462962963,6.83606357928
15,0.014606396064,4.96903480551,0.0015,0.0,6.95551205123
16,0.0161439114391,4.96500735559,0.0015,0.0,6.91594527386
17,0.0158364083641,4.96314957866,0.0015,0.0,7.01865455398
18,0.0147601476015,4.96577426516,0.0015,0.0,7.04141853474
19,0.0181426814268,4.96461692449,0.0015,0.0,7.23922698586
20,0.0144526445264,4.9592750005,0.0015,0.025462962963,7.13442793157
21,0.0141451414514,4.96261317674,0.0015,0.0,6.93656879001
22,0.0162976629766,4.9596797807,0.0015,0.0,7.27163936915
